file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0632_0350_2610020_to_2612932,རང་གིས་ཡབ་དམ་པའི་སྐུ་དྲོད་མ་ཡལ་གོང་ལ།  ,rang gis yab dam pa'i sku drod ma yal gong la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0632_0350_2610020_to_2612932.wav,STT_MV,3,39,2.912,wav16k/STT_MV0632_0350_2610020_to_2612932.wav,རང་གིས་ཡབ་དལ་པོའི་སྐུ་གྲུས་མ་ཡལ་གོང་ལ་
STT_MV0632_0317_2381679_to_2386881,ལྕམ་སྐུ་ཤོགས་ཨ་ལེ་དངམ་སྐྲག་མ་གནང་དང་ངར་གསལ་པོ་གཅིག་གསུང་དང་རྒྱུ་མཚན་གཅིག་ཡོད་ཀི་རེད།  ,lcam sku shogs a le dngam skrag ma gnang dang ngar gsal po gcig gsung dang rgyu mtshan gcig yod ki red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0632_0317_2381679_to_2386881.wav,STT_MV,3,86,5.202,wav16k/STT_MV0632_0317_2381679_to_2386881.wav,ལྕམ་སྐུ་ཤོགས་ལས་དངམ་སྐྲག་མ་གནང་ད། ང་གསལ་པོ་ཅིག་གཏུང་དང་ རྒྱུ་མཚན་གཅིག་ཡོད་ཀྱི་རེད།
STT_MV0632_0320_2396362_to_2399427,རྨིག་དམག་དཔེ་ཆ་ངས་སྦས་པ་རེད་ཟེར་གི་ ,rmig dmag dpe cha ngas sbas pa red zer gi _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0632_0320_2396362_to_2399427.wav,STT_MV,3,36,3.065,wav16k/STT_MV0632_0320_2396362_to_2399427.wav,ྨིག་དམ་དཔེ་ཆ་ངས་སྦས་པ་རེད་ཟེར་གིས
STT_MV0632_0321_2399427_to_2402259,ད་རང་ཞོགས་ཀས་ ,da rang zhogs kas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0632_0321_2399427_to_2402259.wav,STT_MV,3,14,2.832,wav16k/STT_MV0632_0321_2399427_to_2402259.wav,ད་རང་ཞོགས་ཀས་
STT_MV0632_0322_2402259_to_2407679,ཡང་མི་བཏང་བྱས་གྲོང་ཁྱེར་ནུབ་བྱང་ལ་ཁང་པ་འཚལ་ཡོད་ཟེར་ང་གཉིས་མ་བུ་གཉིས ,yang mi btang byas grong khyer nub byang la khang pa 'tshal yod zer nga gnyis ma bu gnyis_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0632_0322_2402259_to_2407679.wav,STT_MV,3,68,5.42,wav16k/STT_MV0632_0322_2402259_to_2407679.wav,ཡང་མི་བཏང་བྱས་གྲོང་ཁྱེར་གི་ནུབ་བྱང་ལ་ཡ་ཁང་པ་ིག་བཙལ་ཡོད་ཟེར་ ང་གཉིས་མ་བུ་གཉིས་
STT_MV0632_0323_2407679_to_2416571,ཏིང་ཚང་ནས་ཕར་གས་སྤོས་ཟེར་གི། གལ་སྲིད་མ་སྤོས་པ་ཡིན་ན་བཙན་ཤེད་བྱས་སྤོ་བཅུག་གི་ཡིན་ཟེར་གི ཧམ་པ་ཚ་ཐག་ཆོད་པ་རེད།  ,ting tshang nas phar gas spos zer gi/_gal srid ma spos pa yin na btsan shed byas spo bcug gi yin zer gi_ham pa tsha thag chod pa red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0632_0323_2407679_to_2416571.wav,STT_MV,3,109,8.892,wav16k/STT_MV0632_0323_2407679_to_2416571.wav,གཏིང་ཚང་ནས་ཕ་གི་སྤོས་ཟེར་གི། གལ་སྲིད་མ་སྤོས་པ་ཡིན་ན་བཙན་བཟིང་བྱས་སྤོ་བཅི་གི་ཡིན་ཟེར་གི། ཧམ་སང་ཁ་ཐག་ཆོད་པ་རེན།
STT_MV0632_0340_2554457_to_2557146,ང་མནའ་མ་ལོག་གི་ཡིན་ཟེར་གསུང་མྱོང་ཡོད།  ,nga mna' ma log gi yin zer gsung myong yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0632_0340_2554457_to_2557146.wav,STT_MV,3,39,2.689,wav16k/STT_MV0632_0340_2554457_to_2557146.wav,ང་མནའ་མ་སལོག་གི་ཡིན་ཟེར་གསུང་མྱོང་ཡོད།
STT_MV0632_0324_2416571_to_2425361,ལྕམ་སྐུ་ཤོགས་དགུང་ལོ་ཆུང་ཆུང་ཡིན་ནས་ཏིང་ཚང་གི་ལྕམ་རེད་བཱ། མཱ་རུང། ལགས་ཡོད། ཏིང་ཇི་འཇུས་ཤོག ལ་སེ། གུས་ཞབས་མེད་པའི་མི་འདི་ག་འདྲ་བྱས་སོང་ལྟ་གོ སྐུ་ངོ་གཡུག་བཞག་གནང་།  ,lcam sku shogs dgung lo chung chung yin nas ting tshang gi lcam red bA/_mA rung/_lags yod/_ting ji 'jus shog_la se/_gus zhabs med pa'i mi 'di ga 'dra byas song lta go_sku ngo g.yug bzhag gnang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0632_0324_2416571_to_2425361.wav,STT_MV,3,163,8.79,wav16k/STT_MV0632_0324_2416571_to_2425361.wav,ལྕམ་སྐུ་ཤོགས་དགུང་ལོ་ཆུང་ཆུང་ཡིན་ནས་ཏིང་ཚང་ལྕམ་རེད་པ། མཱ་རུང་ལགས་ཡོད། ཏིང་ཅིང་ཞུས་ཤོག ལགས་སོ། གུས་ཞབས་མེད་པ་མི་འདེ་ག་འདྲས་བྱས་སོང་བལྟས་དགོས། སྐུ་ངོ་གཡུག་བཤག་གནང་།
STT_MV0632_0362_2696539_to_2700742,ང་མཉམ་དུ་འགྲོ་མགྱོགས་ཙི་བྱོས། ཡ། གཡུ་འབྲུག་ཚོགས་པ། བྱས་ཙང་། མགྱོགས་ཙི་ཤོག་མགྱོགས་ཙི།  ,nga mnyam du 'gro mgyogs tsi byos/_ya/_g.yu 'brug tshogs pa/_byas tsang /_mgyogs tsi shog mgyogs tsi/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0632_0362_2696539_to_2700742.wav,STT_MV,3,86,4.203,wav16k/STT_MV0632_0362_2696539_to_2700742.wav,ང་མཉམ་དུ་ཤོ མགྱོགས་སེ་བྱས། ཡ། གཡུན་རུ་ཤོག། གྱོག་ཤོག་་ མགྱོགས་སེ་བྱས་ཙང་།
STT_MV0634_0004_116407_to_126208,སྡུག་པོ་མཐོང་སོང་། ཁྱེད་རང་ག་རེ་གནང་ག། འདི་ག་བར་རེད། གོ་ཐོས་ལ་ ,sdug po mthong song /_khyed rang ga re gnang ga/_'di ga bar red/_go thos la _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0634_0004_116407_to_126208.wav,STT_MV,3,63,9.801,wav16k/STT_MV0634_0004_116407_to_126208.wav,སྡུག་པ་མཐོར་སོང་། ཁྱེད་རང་ག་རེ་གནང་གའདི་ག་བར་རེད། ཨགོ་ཐོས་ལ་
